#,Name,Description,Icon,,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,VFX,LockMovement,,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,PartyListPriority,CanIncreaseRewards,,,ParamModifier,ParamEffect,CanStatusOff,Log,IsFcBuff,,Invisibility,TargetType,Flags,,,,
0,"","",0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,0
1,"Pétrification","Une rigidité semblable à celle de la pierre empêche toute action.",15001,85,0,1,2,6,1,True,False,True,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,32,0,True,False,0
2,"Étourdissement","Toute action est impossible.",15004,0,0,1,2,3,2,True,False,True,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,0
3,"Sommeil","Le sommeil empêche toute action.",15013,1,0,1,2,2,3,True,False,True,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,3,0,True,False,0
4,"Évanouissement","Une perte momentanée de conscience empêche toute action.",15003,1,0,1,2,8,0,True,False,True,False,False,False,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,0
5,"Amnésie","L'utilisation d'aptitudes est impossible.",15015,0,0,1,2,15,0,False,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,0
6,"Pacification","L'utilisation de techniques d'arme est impossible.",15017,0,0,1,2,14,0,False,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,0
7,"Silence","Le lancement de sorts est impossible.",15005,2,0,1,2,7,0,False,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,22,0,False,False,0
8,"Hâte","La vitesse des attaques automatiques est augmentée, et les temps de lancement et de recharge des sorts et des techniques d'arme sont réduits.",15008,5,0,1,1,16,0,False,False,False,False,False,False,False,False,False,1,0,False,False,-15,0,False,0,False,0,False,0,0,0,False,False,0
9,"Lenteur","La vitesse des attaques automatiques est réduite, et les temps de lancement et de recharge des sorts et des techniques d'arme sont allongés.",15009,5,0,1,2,13,0,False,False,False,False,False,False,True,False,False,50,0,False,False,15,0,False,0,False,0,False,0,0,0,False,False,0
10,"Lenteur","Les mouvements sont gênés par une constriction. La vitesse des attaques automatiques est réduite, et les temps de lancement et de recharge des sorts et des techniques d'arme sont allongés.",15545,5,0,1,2,13,0,False,False,False,False,False,False,True,True,True,50,0,False,False,20,0,False,0,False,0,False,0,0,0,False,False,0
11,"Confusion","La folie fait attaquer les alliés à la place des ennemis.",15603,64,0,1,2,17,0,False,False,False,True,False,True,False,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,0
12,"Lévitation","Le corps flotte à quelques ilms du sol, défiant la loi de la gravité.",15037,0,0,1,1,16,4,False,False,False,False,False,False,False,True,True,1,0,False,False,0,0,False,0,False,0,False,0,49,0,False,False,0
13,"Entrave","Tout déplacement est impossible.",15003,3,0,1,2,12,5,True,False,False,False,False,False,True,False,False,100,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,0
14,"Pesanteur","La vitesse de déplacement est réduite.",15002,3,0,1,2,4,6,False,False,False,False,False,False,True,False,False,100,0,False,False,0,1,False,0,False,0,False,0,0,0,False,False,0
15,"Cécité","Un voile d'obscurité diminue la précision.",15012,4,0,1,2,10,0,False,False,False,False,False,False,True,False,False,50,0,False,False,-10,0,False,0,False,0,False,0,0,0,False,False,0
16,"","",0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,0,0,False,False,0,0,False,0,False,0,False,0,0,0,False,False,0
